Club,Title,Date,Time,Artists,Genre,Description,Venue,Ticket URL,Event URL,Score
Kaschemme,ELECTRONIC EUPHORIA w/ OMAR DAHL live,2025-12-04,,OMAR DAHL live,electronic,"𝘖𝘔𝘈𝘙 𝘋𝘈𝘏𝘓 garantieren sinnlich-tanzbare Musik mit organischem Groove und euphorisierender Kraft. Die vierköpfige Band aus  Belgien kombiniert Einflüsse aus unterschiedlichen Kulturen zu einem  mystischen Trip und einer äusserst tanzbaren Kombination aus  Synthesizern, Ney, Violine und Saxofon. Lineup: 𝗢𝗠𝗔𝗥 𝗗𝗔𝗛𝗟 live, 𝗘𝗡𝗥𝗜𝗤 &amp; 𝗙𝗨𝗡𝗞𝗘𝗡𝗦𝗖𝗛𝗟𝗘𝗨𝗗𝗘𝗥 live, 𝗝𝗨𝗟𝗜 𝗟𝗘𝗘, 𝗔𝗡𝗔𝗖𝗢-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2512/euphoria,19
Bassoverse,Event 6.12.2025,2025-12-06,15:00,,,,,,https://www.bassoverse.space/beats,15
Nordstern,Untitled Event,2025-12-13,23:00,,electronic,"Avaion exists at the compelling collision point of raw emotion and forward-thinking production. Refusing to be bound by a single genre, his distinct signature sound masterfully fuses electronic beats with organic elements, melancholic harmonies, and soulful vocals. Electric and experimental, Avaion has quickly carved out a space&mdash;and a global fanbase&mdash;entirely his own.",,https://tickets.nordstern.com/events/avaion,https://tickets.nordstern.com/events/avaion,15
Kaschemme,BASS ARCADE w/ Phill Turner &amp; Spiralek,2026-07-17,,Phill Turner &amp; Spiralek,bass,"Während alle anderen in der Sommerpause sind, geben wir Vollgas! Am  18. Juli sind wir zurück in der Kaschemme mit einem Line-Up, das selbst  die coolsten Leute zum Schwitzen bringt. Zu Gast sind 𝘗𝘏𝘐𝘓𝘓  𝘛𝘜𝘙𝘕𝘌𝘙 und 𝘚𝘗𝘐𝘙𝘈𝘓𝘌𝘒, komplettiert wird das Lineup wie  immer von der Bass Arcade Crew. Schnappt euch eure Freund:innen und macht euch bereit für eine Nacht voller catchy Melodien und drückenden Basslines 🕹️__Lineup: 𝗣𝗛𝗜𝗟𝗟 𝗧𝗨𝗥𝗡𝗘𝗥, 𝗦𝗣𝗜𝗥𝗔𝗟𝗘𝗞, 𝗠𝗢𝗡𝗔𝗟𝗜𝗦𝗔 �...",,,https://www.kaschemme.ch/programm/2507/bassarcade,15
Kaschemme,WEIL SONNTAG w/ NICA,2026-10-04,,NICA,,"Schon so viele tolle Sonntagsstunden haben wir mit 𝘕𝘐𝘊𝘈 in der Kaschemme erlebt, da liegt es nahe, gemeinsam in die neue Saison zu starten! WEIL SONNTAG lädt im liebevoll dekorierten Wohnzimmer zum verträumten durch-den-Tag schweben ein.&nbsp;Lineup: 𝗙𝗥𝗔𝗡𝗖𝗘𝗦𝗖𝗢 𝗥𝗜𝗭𝗭𝗜 (berlin), 𝗞𝗔𝗛𝗟 &amp; 𝗞𝗔𝗘𝗠𝗘𝗡𝗔 𝘓𝘐𝘝𝘌 (berlin), 𝗘𝗩𝗢𝗜𝗟𝗔, 𝗧𝗔𝗔𝗟𝗔, 𝗧𝗛𝗜𝗟𝗢-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2510/weilsonntag,15
Kaschemme,BONEFLOWER NIGHT - A GOTHIC SOIRÉE w/ TWIN NOIR &amp; LETTEN 94,2026-10-09,,TWIN NOIR &amp; LETTEN 94,rock,"On October 10th, we gather for a night where shadows bloom and melodies echo through the dark. 𝘓𝘐𝘝𝘌 on stage there will be 𝘛𝘞𝘐𝘕 𝘕𝘖𝘐𝘙 from Berlin. A Punk / New Wave duo driven by a tape machine, weaving intensity and longing into haunting soundscapes. Opener of this nocturnal journey are 𝘓𝘌𝘛𝘛𝘌𝘕 94 from Switzerland, carrying us deep into the hypnotic embrace of coldwave.Lineup: 𝗧𝗪𝗜𝗡 𝗡𝗢𝗜𝗥, 𝗟𝗘𝗧𝗧𝗘𝗡 𝟵𝟰, 𝗗𝗔𝗜𝗦𝗬 𝗖𝗛𝗔𝗜𝗡 𝗞𝗢𝗟𝗟𝗘𝗞𝗧𝗜𝗩-&gt;tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2025/10/10/boneflower-night-a-gothic-soire-w-twin-noir-amp-letten-94,15
Kaschemme,DER INDIE SLOT w/ Mille Scuse &amp; Dirk Dollar,2026-10-31,,Mille Scuse &amp; Dirk Dollar,indie,"Am 1. November begrüssen wir nach langem Warten endlich wieder einmal alle Indie Rock Fans bei uns im Club! Vor der famosen Party sorgen 𝘋𝘐𝘙𝘒 𝘋𝘖𝘓𝘓𝘈𝘙 und 𝘔𝘐𝘓𝘓𝘌 𝘚𝘊𝘜𝘚𝘌 mit ihren Live-Auftritten für ein wenig Nostalgie.Lineup:&nbsp;𝗗𝗜𝗥𝗞 𝗗𝗢𝗟𝗟𝗔𝗥 (Basel), 𝗠𝗜𝗟𝗟𝗘 𝗦𝗖𝗨𝗦𝗘 (Basel)-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2511/derindieslot,15
Kaschemme,"MindBodySoul w/ Jelena, Cephei, Faln",2026-11-14,,Jelena,bass,"Bewusste körperliche und geistige Entspannung mit hypnotischen Grooves und melodischer Euphorie bieten unsere DJs 𝘑𝘌𝘓𝘌𝘕𝘈, 𝘊𝘌𝘗𝘏𝘌𝘐 &amp; 𝘍𝘈𝘓𝘕. Donnernde Rhythmen und vom Bass geschwängerte Luft - der wohl beliebteste Lifehack, um mal wieder so richtig abzuschalten.Lineup: 𝗝𝗘𝗟𝗘𝗡𝗔, &nbsp;𝗖𝗘𝗣𝗛𝗘𝗜, 𝗙𝗔𝗟𝗡-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2025/11/15/mindbodysoul-w-jelena-cephei-faln,15
Kaschemme,"WEIL SONNTAG w/ DANDARA, MULA, MADMA, EVOILA",2026-11-15,,DANDARA,,"Raus aus den Federn und rein ins Clubvergnügen. Weil am Sonntag  tanzen so ungemein Spass macht, laden wir alle herzlich herein zu uns in  die gute Stube für ein weiteres Kapitel in dieser tollkühnen Serie.Lineup: 𝗗𝗔𝗡𝗗𝗔𝗥𝗔, 𝗠𝗨𝗟𝗔, 𝗠𝗔𝗗𝗠𝗔, 𝗘𝗩𝗢𝗜𝗟𝗔-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2511/weilsonntag,15
Kaschemme,BASS ARCADE w/ SUBKEY &amp; RUFFCUT,2026-11-20,,SUBKEY &amp; RUFFCUT,drum & bass,"Vor etwas mehr als zwei Jahren haben wir unsere Reise in die Welt des Drum and Bass begonnen. Mit vielen unvergesslichen Raves auf dem Buckel erreichen wir nun das erste zweistellige Level!Lineup: 𝗦𝗨𝗕𝗞𝗘𝗬, 𝗥𝗨𝗙𝗙𝗖𝗨𝗧, 𝗠𝗢𝗡𝗔 𝗟𝗜𝗦𝗔 𝗢𝗩𝗘𝗥𝗗𝗥𝗜𝗩𝗘 b2b 𝗨𝗡𝗜𝗦𝗢𝗡𝗨𝗦, 𝗦𝗘𝗟𝗘𝗦𝗧𝗜𝗔 b2b 𝗠𝗢𝗩𝗘𝗠𝗘𝗡𝗧𝗔𝗟, 𝗣𝗘𝗔𝗧Ó𝗡-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2025/11/21/bass-arcade-w-subkey-amp-ruffcut,15
